Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
1461,20,RH,80,11622,Reg,Inside,NAmes,Feedr,1Fam,1Story,5,6,1961,1961,VinylSd,VinylSd,None,0,TA,CBlock,TA,No,Rec,468,LwQ,144,270,882,GasA,TA,Y,896,0,0,896,0,0,1,0,2,1,TA,5,Typ,0,NA,Attchd,1961,Unf,1,730,TA,Y,140,0,0,0,120,MnPrv,NA,0,6,2010,WD,Normal
1462,20,RL,81,14267,IR1,Corner,NAmes,Norm,1Fam,1Story,6,6,1958,1958,Wd Sdng,Wd Sdng,BrkFace,108,TA,CBlock,TA,No,ALQ,923,Unf,0,406,1329,GasA,TA,Y,1329,0,0,1329,0,0,1,1,3,1,Gd,6,Typ,0,NA,Attchd,1958,Unf,1,312,TA,Y,393,36,0,0,0,NA,Gar2,12500,6,2010,WD,Normal
1463,60,RL,74,13830,IR1,Inside,Gilbert,Norm,1Fam,2Story,5,5,1997,1998,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,GLQ,791,Unf,0,137,928,GasA,Gd,Y,928,701,0,1629,0,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2,482,TA,Y,212,34,0,0,0,MnPrv,NA,0,3,2010,WD,Normal
1464,60,RL,78,9978,IR1,Inside,Gilbert,Norm,1Fam,2Story,6,6,1998,1998,VinylSd,VinylSd,BrkFace,20,TA,PConc,TA,No,GLQ,602,Unf,0,324,926,GasA,Ex,Y,926,678,0,1604,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2,470,TA,Y,360,36,0,0,0,NA,NA,0,6,2010,WD,Normal
1465,120,RL,43,5005,IR1,Inside,StoneBr,Norm,TwnhsE,1Story,8,5,1992,1992,HdBoard,HdBoard,None,0,Gd,PConc,Gd,No,ALQ,263,Unf,0,1017,1280,GasA,Ex,Y,1280,0,0,1280,0,0,2,0,2,1,Gd,5,Typ,0,NA,Attchd,1992,RFn,2,506,TA,Y,0,82,0,0,144,NA,NA,0,1,2010,WD,Normal
1466,60,RL,75,10000,IR1,Corner,Gilbert,Norm,1Fam,2Story,6,5,1993,1994,HdBoard,HdBoard,None,0,TA,PConc,Gd,No,Unf,0,Unf,0,763,763,GasA,Gd,Y,763,892,0,1655,0,0,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2,440,TA,Y,157,84,0,0,0,NA,NA,0,4,2010,WD,Normal
1467,20,RL,NA,7980,IR1,Inside,Gilbert,Norm,1Fam,1Story,6,7,1992,2007,HdBoard,HdBoard,None,0,TA,PConc,Gd,No,ALQ,935,Unf,0,233,1168,GasA,Ex,Y,1187,0,0,1187,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1992,Fin,2,420,TA,Y,483,21,0,0,0,GdPrv,Shed,500,3,2010,WD,Normal
1468,60,RL,63,8402,IR1,Inside,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,VinylSd,VinylSd,None,0,TA,PConc,Gd,No,Unf,0,Unf,0,789,789,GasA,Gd,Y,789,676,0,1465,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2,393,TA,Y,0,75,0,0,0,NA,NA,0,5,2010,WD,Normal
1469,20,RL,85,10176,Reg,Inside,Gilbert,Norm,1Fam,1Story,7,5,1990,1990,HdBoard,HdBoard,None,0,TA,PConc,Gd,Gd,GLQ,637,Unf,0,663,1300,GasA,Gd,Y,1341,0,0,1341,1,0,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2,506,TA,Y,192,0,0,0,0,NA,NA,0,2,2010,WD,Normal
1470,20,RL,70,8400,Reg,Corner,NAmes,Norm,1Fam,1Story,4,5,1970,1970,Plywood,Plywood,None,0,TA,CBlock,TA,No,ALQ,804,Rec,78,0,882,GasA,TA,Y,882,0,0,882,1,0,1,0,2,1,TA,4,Typ,0,NA,Attchd,1970,Fin,2,525,TA,Y,240,0,0,0,0,MnPrv,NA,0,4,2010,WD,Normal
